"Pass []","re(Mode(1)) [g]"
1,2.51510403494152
2,2.89769972651946
3,2.94482759714703
4,2.89802291585712
5,2.91620676239853
6,2.99298288777234
7,3.032064672052
8,3.12078002012143
9,3.17468907385589
10,3.22077890970155
11,3.25567676926142
12,3.28424987256372
13,3.29210257777798
14,3.29477461810535
15,
16,
17,
18,
19,
20,
